City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dudinka,69.4058,86.1778,-20.93,99,58,4.03,RU,1700168727
1,port-aux-francais,-49.35,70.2167,5.07,93,100,13.12,TF,1700168682
2,waitangi,-43.9535,-176.5597,16.01,89,100,3.13,NZ,1700168686
3,stanley,54.868,-1.6985,5.85,96,40,1.03,GB,1700168709
4,belyy yar,53.6039,91.3903,-6.06,100,100,0.0,RU,1700168728
5,port elizabeth,-33.918,25.5701,20.16,92,75,3.09,ZA,1700168681
6,den burg,53.0542,4.7972,5.54,100,100,0.51,NL,1700168729
7,la serena,-29.9078,-71.2542,17.73,55,0,6.69,CL,1700168590
8,grytviken,-54.2811,-36.5092,2.1,98,100,6.31,GS,1700168681
9,lompoc,34.6391,-120.4579,23.67,66,100,5.81,US,1700168729
10,ust-nera,64.5667,143.2,-20.96,94,78,4.73,RU,1700168685
11,adamstown,-25.066,-130.1015,21.26,89,100,5.75,PN,1700168729
12,puerto natales,-51.7236,-72.4875,9.25,76,75,1.03,CL,1700168577
13,maxixe,-23.8597,35.3472,21.76,65,0,5.19,MZ,1700168730
14,haiku-pauwela,20.9219,-156.3051,25.01,78,20,8.75,US,1700168714
15,mangochi,-14.4782,35.2645,24.84,52,17,3.04,MW,1700168730
16,yellowknife,62.456,-114.3525,-4.69,94,100,8.94,CA,1700168687
17,anzio,41.4853,12.6179,16.84,79,99,5.03,IT,1700168730
18,hithadhoo,-0.6,73.0833,27.84,79,89,6.04,MV,1700168703
19,staunton,38.1496,-79.0717,19.86,22,0,3.6,US,1700168731
20,tiksi,71.6872,128.8694,-17.62,98,100,3.62,RU,1700168690
21,yaren,-0.5472,166.916,28.33,75,49,1.88,NR,1700168732
22,udachny,66.4167,112.4,-8.21,96,100,2.93,RU,1700168696
23,iskateley,67.6803,53.1512,-8.88,96,100,2.68,RU,1700168732
24,papatowai,-46.5619,169.4708,7.02,93,100,2.37,NZ,1700168677
25,anadyr,64.75,177.4833,-20.56,76,0,6.0,RU,1700168684
26,iqaluit,63.7506,-68.5145,-1.15,86,100,12.96,CA,1700168695
27,nuku'alofa,-21.1333,-175.2,27.19,89,75,4.63,TO,1700168733
28,puerto baquerizo moreno,-0.9,-89.6,26.55,74,40,6.69,EC,1700168733
29,weno,7.4515,151.8468,25.97,94,100,0.0,FM,1700168733
30,laguna,38.421,-121.4238,22.32,64,0,4.12,US,1700168710
31,midvagur,62.0511,-7.1939,4.46,81,40,5.14,FO,1700168734
32,mount gambier,-37.8333,140.7667,12.13,67,70,2.16,AU,1700168734
33,carnarvon,-24.8667,113.6333,21.1,86,0,1.25,AU,1700168711
34,rasht,37.2808,49.5832,18.77,52,0,2.64,IR,1700168734
35,kasongo-lunda,-6.4667,16.8167,22.11,93,100,0.94,CD,1700168735
