City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
tosontsengel,48.7567,98.2839,-21.24,83,11,0.51,MN,1699833161
albany,42.6001,-73.9662,0.37,74,4,0.04,US,1699833086
hithadhoo,-0.6,73.0833,27.61,75,73,3.14,MV,1699833230
grytviken,-54.2811,-36.5092,3.38,89,100,1.67,GS,1699833230
blackmans bay,-43.0167,147.3167,16.96,50,10,2.78,AU,1699833231
edinburgh of the seven seas,-37.0676,-12.3116,14.07,82,5,9.87,SH,1699833231
fort bragg,35.139,-79.006,13.23,70,40,2.06,US,1699833231
iskateley,67.6803,53.1512,-11.66,94,52,2.24,RU,1699833227
wailua homesteads,22.0669,-159.378,28.24,80,40,9.26,US,1699833091
lihue,21.9789,-159.3672,28.58,75,40,9.26,US,1699833231
mitu,1.1983,-70.1733,26.01,83,98,0.25,CO,1699833231
invercargill,-46.4,168.35,11.12,95,99,3.58,NZ,1699833043
kavieng,-2.5744,150.7967,28.47,68,100,1.43,PG,1699833232
iqaluit,63.7506,-68.5145,-17.95,70,20,3.6,CA,1699833232
andergrove,-21.0833,149.1833,28.69,53,15,4.51,AU,1699833232
tsiombe,-25.3,45.4833,21.66,60,0,2.41,MG,1699833232
vallenar,-28.5708,-70.7581,20.36,38,7,1.51,CL,1699833233
stanley,54.868,-1.6985,6.51,94,75,4.63,GB,1699832987
gafanha da nazare,40.6362,-8.7134,18.34,96,88,4.42,PT,1699833233
coari,-4.085,-63.1414,28.0,70,80,0.62,BR,1699833233
ciudad lazaro cardenas,17.9583,-102.2,27.93,79,10,2.9,MX,1699833135
georgetown,5.4112,100.3354,27.79,92,20,1.54,MY,1699833234
waitangi,-43.9535,-176.5597,12.63,87,57,8.6,NZ,1699833138
puerto natales,-51.7236,-72.4875,6.94,81,86,1.79,CL,1699833234
saint-philippe,-21.3585,55.7679,19.77,84,62,3.04,RE,1699833232
bethel,41.3712,-73.414,3.17,70,0,0.0,US,1699833234
pastos bons,-6.6017,-44.0767,27.37,35,0,0.8,BR,1699833234
port-aux-francais,-49.35,70.2167,4.82,81,100,5.5,TF,1699833234
tiksi,71.6872,128.8694,-16.34,90,100,6.21,RU,1699833235
abadiania,-16.2042,-48.7069,28.51,36,60,1.42,BR,1699833235
novyy urengoy,66.0833,76.6333,-8.65,92,71,6.1,RU,1699833235
kathu,7.9178,98.3332,29.27,78,98,4.55,TH,1699833235
ola,59.5833,151.2833,-11.4,64,100,5.86,RU,1699833235
tazacorte,28.629,-17.9293,23.97,38,100,4.02,ES,1699833235
papao,-17.75,-149.55,29.82,76,33,2.79,PF,1699833236
adamstown,-25.066,-130.1015,22.81,84,100,8.41,PN,1699833236
punta arenas,-53.15,-70.9167,11.06,54,75,10.29,CL,1699833236
hasaki,35.7333,140.8333,10.16,82,92,10.73,JP,1699833236
college,64.8569,-147.8028,-7.03,79,75,1.54,US,1699833236
longyearbyen,78.2186,15.6401,-4.09,86,75,6.17,SJ,1699833236
ribeira grande,38.5167,-28.7,18.21,88,100,1.79,PT,1699833237
remire-montjoly,4.9167,-52.2667,27.41,82,56,5.33,GF,1699833237
talnakh,69.4865,88.3972,-1.55,96,100,4.41,RU,1699833237
avarua,-21.2078,-159.775,25.03,53,100,3.09,CK,1699833237
margaret river,-33.95,115.0667,16.34,82,100,6.26,AU,1699833238
tolanaro,-25.0319,46.9987,22.04,78,0,7.2,MG,1699833238
badger,64.8,-147.5333,-7.07,79,75,1.54,US,1699833238
fale old settlement,-9.3852,-171.2468,28.97,71,70,1.31,TK,1699832957
bredasdorp,-34.5322,20.0403,13.05,88,4,0.18,ZA,1699833238
trincomalee,8.5711,81.2335,26.53,85,100,5.86,LK,1699833238
hawaiian paradise park,19.5933,-154.9731,26.73,82,20,2.57,US,1699833239
klyuchi,52.2667,79.1667,4.7,88,99,4.36,RU,1699833239
merizo village,13.2658,144.6691,30.32,83,37,8.55,GU,1699833239
buala,-8.145,159.5921,28.32,75,99,2.03,SB,1699833239
